department,id,name,role
Product,INTV-98a21f1c-914d-4fae-b100-13a7c6deb2f0,Tammy Young,Product Staff
Product,INTV-27d415b6-0d77-45a0-a222-b6a615bfbe97,Robert Thompson,Product Staff
Marketing,INTV-6fac1673-0ad4-4230-bdf6-6ba5dc9c96de,Debra Cobb,Marketing Staff
Marketing,INTV-13eecdc6-ebd1-4d2c-b5b2-745504cc3ede,Shane Garrison,Marketing Staff
HR,INTV-828c37e7-87d5-47be-9d30-d990a21b0307,Hannah Hoover,HR Staff
HR,INTV-5970a859-c6b6-44ad-a7ea-8d5a31a3ac4d,Courtney Keller,HR Staff
HR,INTV-d1a69d87-f54e-4019-ba35-844e59e1ac09,Donald Jones,HR Staff
Design,INTV-cbdc4318-4d85-43d2-a1a2-748571348c2a,Jordan Frazier,Design Staff
Design,INTV-5a18e2a3-0e61-4bcd-9767-490046510367,Erin Johnson,Design Staff
HR,INTV-f52d4af2-269e-44c9-8059-9b9379c2d2e4,Emily Obrien,HR Staff
HR,INTV-cf9b8558-1a7f-495b-b355-7b9d0fd6f47e,Janice Ray,HR Staff
HR,INTV-fb7d9f1c-57eb-49b1-965e-59dde62d2d06,Michael Smith,HR Staff
Engineering,INTV-68a51c68-632d-4b5e-886b-b6bfeafde7d9,Melissa Bentley,Engineering Staff
Engineering,INTV-990f0c5b-adcc-4daf-969f-3ab3c6435300,Christina Reynolds,Engineering Staff
Design,INTV-e806133c-f6e3-4356-a814-9562da003f16,Lisa Alvarado,Design Staff
Design,INTV-555736f8-267e-4dce-9f8f-41979a4a99b2,Steven Hunter,Design Staff
Design,INTV-2434a678-a9e2-4ba9-952e-6abb14dd5061,Erika Terry,Design Staff
Marketing,INTV-19e45c6a-c9c2-4e69-982c-75654bb907ec,Todd Byrd,Marketing Staff
Sales,INTV-d88c656d-b61e-4fdb-9a43-5206ef2ddcc4,Roy Torres,Sales Staff
Sales,INTV-48f9e3d0-1fea-41e0-99e6-04b38412a335,Richard Lawson,Sales Staff
Sales,INTV-45d5a68d-290a-4abb-835b-9fea1578d709,Jeremy Lowe,Sales Staff
Product,INTV-9bdf90f2-ba2c-4f19-b0b2-a5d18c7e6f42,Nancy Hopkins,Product Staff
